gml_id,ust_katego,alt_katego,ad,geojson
bursa_sanayinoktalari.60,SANAYİ,FABRİKALAR,TREDİN,"{""type"":""Point"",""coordinates"":[28.952153606,40.246465926]}"
bursa_sanayinoktalari.61,SANAYİ,FABRİKALAR,HAKSAN OTOMOTİV,"{""type"":""Point"",""coordinates"":[28.955575036,40.245769787]}"
bursa_sanayinoktalari.62,SANAYİ,FABRİKALAR,ROLLMECH,"{""type"":""Point"",""coordinates"":[28.956455114,40.247856239]}"
bursa_sanayinoktalari.63,SANAYİ,FABRİKALAR,ERDEMLİ KALIP,"{""type"":""Point"",""coordinates"":[28.954611825,40.247837248]}"
bursa_sanayinoktalari.64,SANAYİ,FABRİKALAR,AFATOĞULLARI,"{""type"":""Point"",""coordinates"":[28.955238052,40.248105278]}"
bursa_sanayinoktalari.65,SANAYİ,FABRİKALAR,T.K.G OTOMOTİV,"{""type"":""Point"",""coordinates"":[28.960572291,40.244853294]}"
bursa_sanayinoktalari.66,SANAYİ,FABRİKALAR,SÖNMEZ FİLAMENT,"{""type"":""Point"",""coordinates"":[28.971203939,40.238882142]}"
bursa_sanayinoktalari.67,SANAYİ,FABRİKALAR,FE-KA,"{""type"":""Point"",""coordinates"":[28.959771001,40.234708123]}"
bursa_sanayinoktalari.68,SANAYİ,FABRİKALAR,TURKCELL,"{""type"":""Point"",""coordinates"":[28.959195595,40.234108808]}"
bursa_sanayinoktalari.69,SANAYİ,FABRİKALAR,KORTEKS,"{""type"":""Point"",""coordinates"":[28.962644646,40.234319503]}"
bursa_sanayinoktalari.70,SANAYİ,FABRİKALAR,METİŞ OTOMOTİV,"{""type"":""Point"",""coordinates"":[28.962783921,40.23822773]}"
bursa_sanayinoktalari.71,SANAYİ,FABRİKALAR,REİSOĞLU TEKSTİL,"{""type"":""Point"",""coordinates"":[28.963301484,40.239038506]}"
bursa_sanayinoktalari.72,SANAYİ,FABRİKALAR,KORTEKS,"{""type"":""Point"",""coordinates"":[28.964525894,40.238112735]}"
bursa_sanayinoktalari.73,SANAYİ,FABRİKALAR,EMAŞ PLASTİK,"{""type"":""Point"",""coordinates"":[28.96485149,40.23605641]}"
bursa_sanayinoktalari.74,SANAYİ,FABRİKALAR,TÜRKAY TEKSTİL,"{""type"":""Point"",""coordinates"":[28.960698808,40.240940214]}"
bursa_sanayinoktalari.75,SANAYİ,FABRİKALAR,SİNTA,"{""type"":""Point"",""coordinates"":[28.960097024,40.239151413]}"
bursa_sanayinoktalari.76,SANAYİ,FABRİKALAR,KARAN MAKİNA,"{""type"":""Point"",""coordinates"":[28.962767713,40.239455119]}"
bursa_sanayinoktalari.77,SANAYİ,FABRİKALAR,FE-KA,"{""type"":""Point"",""coordinates"":[28.958696596,40.24623745]}"
bursa_sanayinoktalari.78,SANAYİ,FABRİKALAR,TEKNOMEKANİK,"{""type"":""Point"",""coordinates"":[28.95364074,40.248364211]}"
bursa_sanayinoktalari.79,SANAYİ,FABRİKALAR,MAYSAN MANDO,"{""type"":""Point"",""coordinates"":[28.952050343,40.247936636]}"
bursa_sanayinoktalari.80,SANAYİ,FABRİKALAR,OYTAŞ- YILDIZ,"{""type"":""Point"",""coordinates"":[28.954191363,40.250090778]}"
bursa_sanayinoktalari.81,SANAYİ,FABRİKALAR,BURTOM,"{""type"":""Point"",""coordinates"":[28.956051738,40.248558079]}"
